SuperCategory,Category,System,Pollutant,CAS,Chemical.groups,Concentration,Units,Limit,Date,Reference,Notes
aquatic,aquatic,,Bromacil,,Pesticide,5,ug/L,upper,1999,,
aquatic,aquatic,,Bromoxynil,,Pesticide,5,ug/L,upper,1993,,
aquatic,aquatic,,Captan,,Pesticide,1.3,ug/L,upper,1991,,
aquatic,aquatic,,Carbaryl,,Pesticide,0.2,ug/L,upper,2009,,
aquatic,aquatic,,Carbofuran,,Pesticide,1.8,ug/L,upper,1989,,
aquatic,aquatic,,Chlorothalonil,,Pesticide,0.18,ug/L,upper,1994,,
aquatic,aquatic,,Chlorpyrifos,,Pesticide,0.002,ug/L,upper,2008,,
aquatic,aquatic,,"Chromium, hexavalent (Cr(VI))",,Metal,1,ug/L,upper,1997,,
aquatic,aquatic,,"Chromium, trivalent (Cr(III))",,Metal,8.9,ug/L,upper,1997,,
aquatic,aquatic,,Cyanide,,Inorganic chemical,5,ug/L,upper,1987,,as free CN
aquatic,aquatic,,Cyanazine,,Pesticide,2,ug/L,upper,1990,,
aquatic,aquatic,,Deltamethrin,,Pesticide,0.0004,ug/L,upper,1997,,
aquatic,aquatic,,Di(2-ethylhexyl) phthalate,,Organic chemical,16,ug/L,upper,1993,,
aquatic,aquatic,,Di-n-butyl phthalate,,Organic chemical,19,ug/L,upper,1993,,
aquatic,aquatic,,Dicamba,,Pesticide,10,ug/L,upper,1993,,
aquatic,aquatic,,Dichloromethane,,Organic chemical,98.1,ug/L,upper,1992,,
aquatic,aquatic,,Dichlorophenols,,Organic chemical,0.2,ug/L,upper,1987,,
aquatic,aquatic,,Diclofop-methyl,,Pesticide,6.1,ug/L,upper,1993,,
aquatic,aquatic,,Didecyl dimethyl ammonium chloride,,Pesticide,1.5,ug/L,upper,1999,,
aquatic,aquatic,,Diisopropanolamine,,Organic chemical,1600,ug/L,upper,2005,,
aquatic,aquatic,,Dimethoate,,Pesticide,6.2,ug/L,upper,1993,,
aquatic,aquatic,,Dinoseb,,Pesticide,0.05,ug/L,upper,1992,,
aquatic,aquatic,,Dissolved oxygen,,Inorganic chemical, 5500,ug/L,upper,1999,,"minimum, variable"
aquatic,aquatic,,Endosulfan,,Pesticide,0.003,ug/L,upper,2010,,
aquatic,aquatic,,Ethylbenzene,,Organic chemical,90,ug/L,upper,1996,,
aquatic,aquatic,,Ethylene glycol,,Organic chemical,192000,ug/L,upper,1997,,
aquatic,aquatic,,Fluoranthene,,Organic chemical,0.04,ug/L,upper,1999,,
aquatic,aquatic,,Fluorene,,Organic chemical,3,ug/L,upper,1999,,
aquatic,aquatic,,Fluoride ,,Inorganic chemical,120,ug/L,upper,2002,,
aquatic,aquatic,,Glyphosate,,Pesticide,800,ug/L,upper,2012,,
aquatic,aquatic,,Hexachlorobutadiene,,Organic chemical,1.3,ug/L,upper,1999,,
aquatic,aquatic,,Lindane,,Pesticide,0.01,ug/L,upper,1987,,
aquatic,aquatic,,Imidacloprid,,Pesticide,0.23,ug/L,upper,2007,,
aquatic,aquatic,,Linuron,,Pesticide,7,ug/L,upper,1995,,
aquatic,aquatic,,Mercury,,Metal,0.026,ug/L,upper,2003,,
aquatic,aquatic,,Methoprene,,Pesticide,0.09,ug/L,upper,2007,,
aquatic,aquatic,,Methyl tertiary-butyl ether ,,Organic chemical,10000,ug/L,upper,2003,,
aquatic,aquatic,,Methylchlorophenoxyacetic acid (4-Chloro-2-methyl phenoxy acetic acid; 2-Methyl-4-chloro phenoxy acetic acid),,Pesticide,2.6,ug/L,upper,1995,,
aquatic,aquatic,,Methylmercury,,Organic chemical,0.004,ug/L,upper,2003,,
aquatic,aquatic,,Metolachlor,,Pesticide,7.8,ug/L,upper,1991,,
aquatic,aquatic,,Metribuzin,,Pesticide,1,ug/L,upper,1990,,
aquatic,aquatic,,Monochlorobenzene,,Organic chemical,1.3,ug/L,upper,1997,,
aquatic,aquatic,,Monochlorophenols,,Organic chemical,7,ug/L,upper,1987,,
aquatic,aquatic,,Naphthalene,,Organic chemical,1.1,ug/L,upper,1999,,
aquatic,aquatic,,Nitrite,,Inorganic chemical,11820,ug/L,upper,1987,,60 NO2-N
aquatic,aquatic,,Nonylphenol and its ethoxylates,,Organic chemical,1,ug/L,upper,2002,,
aquatic,aquatic,,Pentachlorobenzene,,Organic chemical,6,ug/L,upper,1997,,
aquatic,aquatic,,Pentachlorophenol,,Organic chemical,0.5,ug/L,upper,1987,,
aquatic,aquatic,,Permethrin,,Pesticide,0.004,ug/L,upper,2006,,
aquatic,aquatic,,Phenanthrene,,Organic chemical,0.4,ug/L,upper,1999,,
aquatic,aquatic,,Phenols (mono-& dihydric),,Organic chemical,4,ug/L,upper,1999,,
aquatic,aquatic,,Phenoxy herbicides,,Pesticide,4,ug/L,upper,1987,,
aquatic,aquatic,,Picloram,,Pesticide,29,ug/L,upper,1990,,
aquatic,aquatic,,Propylene glycol,,Organic chemical,500000,ug/L,upper,1997,,
aquatic,aquatic,,Pyrene,,Organic chemical,0.025,ug/L,upper,1999,,
aquatic,aquatic,,pH,,pH,6.5,ug/L,lower,1987,,
aquatic,aquatic,,pH,,pH,9,ug/L,upper,1987,,
aquatic,aquatic,,Quinoline,,Organic chemical,3.4,,upper,1999,,
aquatic,aquatic,,Reactive Chlorine Species,,Inorganic chemical,0.5,,upper,1999,,
aquatic,aquatic,,Selenium,,Metal,1,,upper,1987,,
aquatic,aquatic,,Silver,,Metal,0.25,,upper,2015,,
aquatic,aquatic,,Simazine,,Pesticide,10,,upper,1991,,
aquatic,aquatic,,Styrene,,Organic chemical,72,,upper,1999,,
aquatic,aquatic,,Sulfolane,,Organic chemical,50000,,upper,2005,,
aquatic,aquatic,,Tebuthiuron,,Pesticide,1.6,,upper,1995,,
aquatic,aquatic,,Tetrachloromethane,,Organic chemical,13.3,,upper,1992,,
aquatic,aquatic,,Tetrachlorophenols,,Organic chemical,1,,upper,1987,,
aquatic,aquatic,,Thallium,,Metal,0.8,,upper,1999,,
aquatic,aquatic,,Toluene,,Organic chemical,2,,upper,1996,,
aquatic,aquatic,,Triallate,,Pesticide,0.24,,upper,1992,,
aquatic,aquatic,,Tributyltin,,Organic chemical,0.0008,,upper,1992,,
aquatic,aquatic,,Trichlorfon,,Pesticide,0.009,,upper,1992,,
aquatic,aquatic,,Trichloromethane,,Organic chemical,1.8,,upper,1992,,
aquatic,aquatic,,Trichlorophenols,,Organic chemical,18,,upper,1987,,
aquatic,aquatic,,Trifluralin,,Pesticide,0.2,,upper,1993,,
aquatic,aquatic,,Triphenyltin,,Organic chemical,0.022,,upper,1992,,
recreational,recreational,,E.coli,,Biological,400,per 100 mL ,upper,,,Swimming: Single-sample maximum concentration
recreational,recreational,,Cyanobacteria,,Biological,100000,cells/mL,upper,,,
recreational,recreational,,microcystin,,Biological,20,ug/L,upper,,,Swimming
recreational,recreational,,ph,,pH,5,,upper,,CCME,Chemical group?
recreational,recreational,,ph,,pH,9,,lower,,,Chemical group?
trophic,oligotrophic,river,tp,,Nutrients,25,ug/L,upper,1998,Dodds et al. 1998,
trophic,mesotrophic,river,tp,,Nutrients,75,ug/L,upper,1998,Dodds et al. 1998,
trophic,mesotrophic,river,tp,,Nutrients,25,ug/L,lower,1998,Dodds et al. 1998,
trophic,eutrophic,river,tp,,Nutrients,75,ug/L,lower,1998,Dodds et al. 1998,
trophic,oligotrophic,river,tn,,Nutrients,700,ug/L,upper,1998,Dodds et al. 1998,
trophic,mesotrophic,river,tn,,Nutrients,1500,ug/L,upper,1998,Dodds et al. 1998,
trophic,mesotrophic,river,tn,,Nutrients,700,ug/L,lower,1998,Dodds et al. 1998,
trophic,oligotrophic,river,chlorophyll ,,Biological,10,ug/L,upper,1998,Dodds et al. 1998,
trophic,mesotrophic,river,suspended chlorophyll,,Biological,30,ug/L,upper,1998,Dodds et al. 1998,
trophic,eutrophic,river,tn,,Nutrients,1500,ug/L,lower,1998,Dodds et al. 1998,
DOC,DOC,,DOC,,DOC,8500,ug/L,upper,2018,Lapierre ,
